Facility Id,Facility Name,Industry
1003009,AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY,Chemicals
1002121,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,Chemicals
1002122,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",Chemicals
1005809,AIR PRODUCTS AND CHEMICALS INC - CATLETTSBURG HYDROGEN PLANT,Chemicals
1002727,AIR PRODUCTS AND CHEMICALS INC - GARYVILLE,Chemicals
1002123,AIR PRODUCTS AND CHEMICALS INCORPORATED,Chemicals
1002430,AIR PRODUCTS BAYTOWN PLANT,Chemicals
1002257,AIR PRODUCTS CARSON HYDROGEN PLANT,Chemicals
1000341,AIR PRODUCTS MANUFACTURING CORP STOCKTON COGEN,Power Plants
1014807,AIR PRODUCTS TEXAS CITY FACILITY,Chemicals
1002435,AIR PRODUCTS WILMINGTON HYDROGEN PLANT,Chemicals
1010475,AJAX PLANT,Petroleum and Natural Gas Systems
1005614,AK STEEL CORP ASHLAND WORKS COKE PLANT,Metals
1005615,AK Steel Corporation West Works,Metals
1003129,AKER PLANT,"Petroleum and Natural Gas Systems,Suppliers of CO2"
1006088,AKRON REGIONAL LANDFILL *,Waste
1005149,AL CORN CLEAN FUEL,Other
1000129,AL Sandersville,Power Plants
1004823,AL TURI LANDFILL & LFGTE FACILITY,Waste
1007917,"ALABAMA RIVER CELLULOSE, LLC","Pulp and Paper,Waste"
1007272,ALADDIN MILLS - ANTIOCH RD PLA NT,Other
1006276,ALBANY LANDFILL,Waste
1004231,ALBEMARLE CORP,"Chemicals,Waste"
1003402,ALBEMARLE CORPORATION HOUSTON PLANT,Chemicals
1004307,ALBEMARLE CORPORATION-SOUTH PLANT,Chemicals
1001877,ALCOA INC - WARRICK OPERATIONS,"Metals,Power Plants"
1003562,ALCOA INTALCO WORKS,"Metals,Waste"
1000635,ALCOA WENATCHEE LLC,Metals
1003201,ALCOA WORLD ALUMINA ATLANTIC,"Metals,Waste"
1003147,ALCOA-MARYVILLE-BLOUNT COUNTY LANDFILL,Waste
1004335,ALL PURPOSE LANDFILL,Waste
1005862,ALLEGANY BALLISTICS LABORATORY,Other
1005006,"ALLEGHENY LUDLUM, BAGDAD FACILITY",Metals
1007192,ALLEN COUNTY PUBLIC WORKS,Waste
1005887,ALLIANCE COMPRESSOR STATION,Petroleum and Natural Gas Systems
1005705,ALLIANCE PIPELINE - OLIVIA 23-A,Petroleum and Natural Gas Systems
1001559,ALLIANCE PIPELINE L.P. - MANCHESTER,Petroleum and Natural Gas Systems
1001560,ALLIANCE PIPELINE LP-Tampico,Petroleum and Natural Gas Systems
1000245,"ALLIANCE PIPELINE, L.P.-FAIRMOUNT COMPRESSOR STATION",Petroleum and Natural Gas Systems
1001558,"ALLIANCE PIPELINE, L.P.-WIMBLEDON COMPRESSOR STATION",Petroleum and Natural Gas Systems
1007645,ALLIANCE SANI LDFL,Waste
1006197,ALLIED IMPERIAL LANDFILL,Waste
1003246,ALLISON COMPRESSOR STATION,Petroleum and Natural Gas Systems
1007496,ALLISON GAS PLANT,Petroleum and Natural Gas Systems
1000048,"ALLISON TRANSMISSION, Inc.",Other
1004327,ALMATIS INC - BAUXITE ARKANSAS,Metals
1007622,ALON REFINING KROTZ SPRINGS INC,"Petroleum Product Suppliers,Refineries"
1003081,"ALPEK POLYESTER MISSISSIPPI, INC.",Other
1004178,"ALPEK POLYESTER USA, LLC",Other
1007291,ALPHA RIDGE LANDFILL,Waste
1013670,ALTIVIA Institute Facilities,Chemicals
1007401,"ALTIVIA Petrochemicals, LLC - HAVERHILL COMPLEX",Chemicals
1007263,ALTO COLUMBIA LLC,"Other,Suppliers of CO2"
1007264,ALTO MAGIC VALLEY LLC,Other
1003268,ALTON STEEL COMPANY,Metals
1005184,ALYESKA PIPELINE SE/TAPS PUMP STATION 01,Other
1005781,"ALYESKA PIPELINE SERVICE COMPANY, Valdez Marine Terminal",Other
1005491,"AM/NS Calvert, LLC",Metals
1005712,AMALGAMATED SUGAR CO LLC,Minerals
1005707,AMALGAMATED SUGAR CO LLC,"Minerals,Waste"
1006412,AMALGAMATED SUGAR CO LLC,"Minerals,Waste"
1007178,AMEA Sylacauga Plant,Power Plants
1004732,AMERICAN ACRYL PASADENA,Chemicals
1005432,AMERICAN AIRLINES,Other
1004417,AMERICAN AVENUE LANDFILL,Waste
1005327,AMERICAN CAST IRON PIPE CO,Metals
1008041,AMERICAN COLLOID,Other
1006354,AMERICAN CRYSTAL SUGAR - CROOKSTON,"Minerals,Waste"
1005751,AMERICAN CRYSTAL SUGAR - E GRAND FORKS,"Minerals,Waste"
1005753,AMERICAN CRYSTAL SUGAR - HILLSBORO,"Minerals,Waste"
1006877,AMERICAN CRYSTAL SUGAR - MOORHEAD,"Minerals,Waste"
1002552,AMERICAN ENVIRONMENTAL LANDFILL,Waste
1007095,AMERICAN FUJI SEAL INC,Pulp and Paper
1000007,AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,Minerals
