Facility Id,Year,Emissions
1004377,2023.0,288301.75
1010040,2023.0,122326.75
1001155,2023.0,64807.356
1000112,2023.0,31916.132
1013701,2023.0,44170.546
1003742,2023.0,29263.95
1003188,2023.0,22883.364
1005043,2023.0,77908.786
1003739,2023.0,30098.14
1007698,2023.0,35940.864
1006665,2023.0,637396.821
1004836,2023.0,20824.978
1004206,2023.0,37564.427924
1003408,2023.0,32128.98
1004914,2023.0,53952.548
1004804,2023.0,31394.032
1013282,2023.0,27050.748
1001106,2023.0,39263.556
1012037,2023.0,61389.032
1004680,2023.0,53834.0
1000766,2023.0,174671.338
1007733,2023.0,25103.856
1000767,2023.0,251175.596
1001033,2023.0,1982200.776
1012058,2023.0,67748.0
1013527,2023.0,106545.348
1002983,2023.0,53455.748
1007514,2023.0,61699.468
1004511,2023.0,159778.754
1005353,2023.0,197928.404
1006971,2023.0,4784.132
1002627,2023.0,151260.98
1002685,2023.0,180279.482
1006529,2023.0,46996.25
1004761,2023.0,80642.396
1005601,2023.0,27873.496
1005046,2023.0,4746.7103316
1002731,2023.0,99085.876
1003752,2023.0,292347.774
1003422,2023.0,89423.364
1002154,2023.0,80346.546
1006047,2023.0,2746519.158
1006208,2023.0,1945776.984
1010610,2023.0,40707.396
1011855,2023.0,29827.488
1000376,2023.0,112816.476
1006080,2023.0,18139.632
1000034,2023.0,108458.352
1014236,2023.0,82308.14
1011961,2023.0,62577.408
1001991,2023.0,5171.25
1001633,2023.0,21816.75
1001636,2023.0,46720.5
1006790,2023.0,18145.0
1002094,2023.0,3069.5
1001845,2023.0,22229.344
1003038,2023.0,26771.15
1006979,2023.0,3571.0
1001637,2023.0,129482.398
1006963,2023.0,29066.948
1000627,2023.0,60212.47
1000630,2023.0,1227774.444
1005310,2023.0,3170977.366
1001444,2023.0,1519041.82
1001447,2023.0,1275616.224
1001450,2023.0,268949.704
1001223,2023.0,781434.252
1003853,2023.0,47111.772
1007551,2023.0,5752.128
1002069,2023.0,23461.812
1006054,2023.0,70515.184
1002408,2023.0,27848.296
1002291,2023.0,38891.504
1007333,2023.0,90785.904
1002067,2023.0,179938.462
1005284,2023.0,9.7
1002380,2023.0,736027.596
1004236,2023.0,13399.792
1001919,2023.0,104072.908
1006430,2023.0,617757.2
1003724,2023.0,342879.2
1003730,2023.0,175600.3
1003780,2023.0,2422.64
1003910,2023.0,481525.0
1006115,2023.0,370412.856
1003591,2023.0,130129.516
1003748,2023.0,821122.3
1003013,2023.0,794369.0
1002698,2023.0,55611.0
1003009,2023.0,261745.3
1002121,2023.0,609352.7
1002122,2023.0,34812.086
1005809,2023.0,147005.5
1002727,2023.0,987351.2
1002123,2023.0,43250.3
1002430,2023.0,56938.584
1002257,2023.0,657457.5
1014807,2023.0,41289.1
1002435,2023.0,827473.79
1010475,2023.0,38738.508
1003129,2023.0,39758.102
1006088,2023.0,1532.75
1005149,2023.0,193607.42
1000129,2023.0,66585.804
1007917,2023.0,378849.678
1007272,2023.0,35442.616
1006276,2023.0,42754.75
1003402,2023.0,43255.924
1004307,2023.0,73523.124
1001877,2023.0,4867518.536
1003562,2023.0,8533.446
1003147,2023.0,91614.5
1004335,2023.0,39544.0
1005862,2023.0,23245.064
1007192,2023.0,65881.834
1005887,2023.0,48988.056
1005705,2023.0,86135.976
1001559,2023.0,82854.688
1001560,2023.0,60343.874
1000245,2023.0,90855.258
1001558,2023.0,90406.31
1007645,2023.0,47985.198
1006197,2023.0,40169.25
1007496,2023.0,42329.308
1000048,2023.0,26842.806
1004327,2023.0,61843.068
1007622,2023.0,633553.722
1003081,2023.0,56461.488
1004178,2023.0,35596.364
1007291,2023.0,25772.15
1013670,2023.0,96979.436
1007401,2023.0,26877.848
1007263,2023.0,38610.604
1007264,2023.0,44427.032
1003268,2023.0,24279.296
1005184,2023.0,70994.532
1005781,2023.0,23797.662
1005491,2023.0,564329.076
1005712,2023.0,201358.202
1005707,2023.0,262054.106
1006412,2023.0,282864.03
1007178,2023.0,28403.544
1004732,2023.0,81718.992
1005432,2023.0,34261.918
1004417,2023.0,123236.0
1005327,2023.0,169389.734
1008041,2023.0,53087.394
1006354,2023.0,304856.036
1005751,2023.0,327865.604
1005753,2023.0,488892.74
1006877,2023.0,312833.746
1002552,2023.0,307075.236
1000007,2023.0,15755.34
1005175,2023.0,92223.352
1004845,2023.0,46036.876
1007404,2023.0,74893.268
1005590,2023.0,122544.272
1006919,2023.0,161361.198
1001962,2023.0,771321.482
1005072,2023.0,61780.352
1008730,2023.0,1277562.116
1004746,2023.0,18420.963379
1006810,2023.0,34495.5
1004508,2023.0,75178.808
1007341,2023.0,175759.3
1007839,2023.0,29169.5
1005392,2023.0,117219.75
1002576,2023.0,22487.77
1006111,2023.0,29821.856
1002867,2023.0,29572.14
1003352,2023.0,35739.816
1003176,2023.0,29532.488
1003224,2023.0,34777.91
1002915,2023.0,10838.138
1006147,2023.0,52175.278
1006904,2023.0,18719.486
1003525,2023.0,20977.288
1006178,2023.0,29610.75
1004929,2023.0,7025.03
1004926,2023.0,30814.436
1005958,2023.0,36386.33
1004928,2023.0,26491.954
1005235,2023.0,38550.762
1005245,2023.0,60557.026
1009589,2023.0,44559.704
1011138,2023.0,39079.464
1004932,2023.0,9261.07
1004930,2023.0,19838.24
1013036,2023.0,82073.396
1004776,2023.0,23790.972
1005238,2023.0,42167.264
1004923,2023.0,17252.136
1013314,2023.0,79726.268
1013969,2023.0,6125.38
1005953,2023.0,7995.076
1005242,2023.0,51492.058
1005060,2023.0,39486.706
1009733,2023.0,12624.914
1014584,2023.0,64757.706
1005243,2023.0,26069.01
1004937,2023.0,4083.538
1005244,2023.0,32426.882
1014812,2023.0,44424.984
1011137,2023.0,32160.432
1004933,2023.0,21276.49
1007710,2023.0,67443.25
1004003,2023.0,32298.0
1001908,2023.0,415928.616
1006777,2023.0,699294.748
1004352,2023.0,74585.094
1000793,2023.0,40457.648
1010353,2023.0,52032.206
1002596,2023.0,24684.158
1001423,2023.0,127427.224
1001422,2023.0,1413916.988
1005906,2023.0,34015.788
1008034,2023.0,191939.6
1005385,2023.0,61586.568
1002916,2023.0,1115108.488
1003215,2023.0,50763.108
1001945,2023.0,165658.676
1005935,2023.0,99125.214
1005940,2023.0,46348.424
1004649,2023.0,33755.172
1002795,2023.0,208741.964
1003456,2023.0,21666.16
1006659,2023.0,1058822.438
1007566,2023.0,846191.73
1006199,2023.0,63883.16
1006203,2023.0,104536.156
1002209,2023.0,419337.866
1005801,2023.0,31146.768
1006644,2023.0,84320.432
1006797,2023.0,81832.892
1005721,2023.0,105680.06
1013817,2023.0,185625.052
1006785,2023.0,184560.81
1003208,2023.0,69218.488
1002968,2023.0,24275.008
1002515,2023.0,91378.946
1002494,2023.0,445.548
1002190,2023.0,553627.712
1003975,2023.0,50087.21
1002665,2023.0,1299989.504
1002421,2023.0,642168.488
1002527,2023.0,580298.5
1007552,2023.0,612374.98
1002531,2023.0,323957.688
1002537,2023.0,367650.9
1007606,2023.0,884374.698
1003496,2023.0,67251.244
1004576,2023.0,3136189.766
1007800,2023.0,258588.0
1006056,2023.0,67720.25
1005442,2023.0,127480.22
1006778,2023.0,60857.514
1007929,2023.0,802950.076
1001858,2023.0,40552.05
1003826,2023.0,110283.898
1003034,2023.0,1353.748
1005000,2023.0,49175.164
1006344,2023.0,104082.55
1007346,2023.0,232312.512
1006132,2023.0,94369.098
1005770,2023.0,290345.67
1003033,2023.0,85639.898
1003328,2023.0,23404.25
1003082,2023.0,27656.376
1007682,2023.0,167794.95
1000378,2023.0,23170.112
1012993,2023.0,27098.748
1003205,2023.0,30662.284
1010630,2023.0,22998.416
1012891,2023.0,36898.5
1007357,2023.0,116056.0
1001347,2023.0,2330334.516
1008234,2023.0,24516.324
1000125,2023.0,927458.714
1011325,2023.0,22056.016
1012051,2023.0,29750.988
1003446,2023.0,88399.964
1000603,2023.0,280794.636
1000089,2023.0,159664.5
1010185,2023.0,230280.0
1006553,2023.0,96956.784
1002263,2023.0,117619.236
1012089,2023.0,40568.648
1002316,2023.0,46160.024
1002156,2023.0,77286.108
1006844,2023.0,234803.316
1006845,2023.0,1285700.808
1003702,2023.0,2015.392
1002315,2023.0,45129.98
1006405,2023.0,154736.868
1012480,2023.0,5157.48
1005790,2023.0,147714.444
1006914,2023.0,92950.3
1005635,2023.0,21524.72
1012475,2023.0,45239.38
1006846,2023.0,293761.844
1009944,2023.0,38838.604
1006556,2023.0,575637.216
1013891,2023.0,55626.54
1002365,2023.0,65183.104
1010699,2023.0,48518.584
1012864,2023.0,30474.536
1012857,2023.0,28455.592
1013643,2023.0,49284.916
1013698,2023.0,253109.4848
1013907,2023.0,141430.376
1007206,2023.0,97740.586
1000423,2023.0,6119.928
1007273,2023.0,201414.518
1005991,2023.0,118120.756
1002339,2023.0,217179.772
1004045,2023.0,49417.764
1007253,2023.0,72276.6
1006711,2023.0,399378.3
1014562,2023.0,87383.1
1013917,2023.0,239814.0
1013205,2023.0,1020473.3
1014231,2023.0,246813.0
1004442,2023.0,160648.0
1006943,2023.0,491423.8
1003160,2023.0,51220.888
1006402,2023.0,2335031.274
1014323,2023.0,446431.6
1014612,2023.0,881224.5
1014324,2023.0,322458.6
1011460,2023.0,1102167.6
1010506,2023.0,861624.0
1010625,2023.0,386199.4
1004586,2023.0,916362.4
1005852,2023.0,94356.9
1004725,2023.0,2299.24
1014866,2023.0,27663.696
1010624,2023.0,46060.942
1005138,2023.0,134681.75
1012815,2023.0,147844.284
1007208,2023.0,787291.84
1010937,2023.0,31213.24
1013912,2023.0,28329.598
1012844,2023.0,11244.862
1009825,2023.0,27396.248
1012517,2023.0,285851.796
1003448,2023.0,23131.164
1003411,2023.0,17676.75
1000955,2023.0,3524.036
1012943,2023.0,149698.392
1012573,2023.0,18507.984
1005044,2023.0,8236.62
1006409,2023.0,87637.618
1001217,2023.0,5777.628
1002050,2023.0,45096.132
1000916,2023.0,1939892.677
1000691,2023.0,998891.322
1006841,2023.0,85885.678
1007315,2023.0,106078.428
1003689,2023.0,14703.896
1013070,2023.0,25540.804
1009221,2023.0,67108.348
1005826,2023.0,44752.632
1012152,2023.0,481753.264
1013088,2023.0,73768.968
1000417,2023.0,11568.708
1007072,2023.0,24094.0
1007699,2023.0,203453.936
1014295,2023.0,45031.082
1004861,2023.0,163962.286
1000413,2023.0,348035.94
1003209,2023.0,26699.33
1004465,2023.0,33076.5
1006878,2023.0,370074.47
1010323,2023.0,143440.5
1002889,2023.0,970705.888
1001859,2023.0,108611.74
1001861,2023.0,75865.106
1005802,2023.0,236925.358
1013081,2023.0,29579.5
1005068,2023.0,32681.876
1000865,2023.0,527566.816
1009982,2023.0,60623.475335
1003759,2023.0,38727.189394
1002181,2023.0,99283.828
1004943,2023.0,61343.572
1005074,2023.0,95412.048
1004941,2023.0,34644.304
1004942,2023.0,79975.744
1002178,2023.0,48752.028
1007246,2023.0,1149386.94
1002813,2023.0,243430.0
1014725,2023.0,142318.52
1001097,2023.0,161252.75
1002037,2023.0,72070.546
1011466,2023.0,29257.0
1002236,2023.0,63836.25
1006652,2023.0,125720.276
1001055,2023.0,5389116.058
1014680,2023.0,7102.43
1005949,2023.0,1458091.254
1000068,2023.0,865093.544
1004686,2023.0,12704.16
1001360,2023.0,107555.652
1013151,2023.0,53907.484
1003156,2023.0,37291.76
1012625,2023.0,556932.724
1003476,2023.0,28539.992
1005661,2023.0,3819217.302
1013749,2023.0,33128.822
1007937,2023.0,269182.836
1003379,2023.0,115844.064
1005835,2023.0,124551.312
1002800,2023.0,51444.118
1012548,2023.0,18584.976
1013060,2023.0,29273.64
1002504,2023.0,52229.704
1005977,2023.0,76121.098
1000105,2023.0,79743.744
1000002,2023.0,116955.04
1000003,2023.0,77625.44
1000005,2023.0,71574.356
1000028,2023.0,77742.556
1000020,2023.0,61642.128
1000021,2023.0,22864.888
1000023,2023.0,97579.996
1000024,2023.0,44364.372
1000026,2023.0,44661.488
1006060,2023.0,89035.704
1003258,2023.0,59225.8
1008677,2023.0,81951.67
1008680,2023.0,51907.452
1012986,2023.0,51994.394
1008681,2023.0,52195.248
1005158,2023.0,127780.848
1005458,2023.0,808553.77
1002750,2023.0,617387.27
1006164,2023.0,0.0
1014643,2023.0,134117.69
1001760,2023.0,333442.368
1004404,2023.0,21559.97
1002645,2023.0,67125.8
1001399,2023.0,1386239.264
1000315,2023.0,38153.574
1004087,2023.0,183636.728
1005709,2023.0,627235.309
1006883,2023.0,78086.356
1003846,2023.0,23195.452
1012906,2023.0,156315.616
1001297,2023.0,150094.25
1001609,2023.0,1438673.068
1000759,2023.0,635388.496
1007189,2023.0,703691.078
1000158,2023.0,603218.828
1004962,2023.0,2329170.426
1002530,2023.0,548942.9
1007180,2023.0,1455027.44
1014475,2023.0,60392.906
1004873,2023.0,2.192
1000132,2023.0,3836.55
1007053,2023.0,489208.772
1014070,2023.0,227933.056
1002577,2023.0,80065.654
1000101,2023.0,705858.184
1011217,2023.0,129003.0
1003450,2023.0,58365.25
1004233,2023.0,256467.728
1014281,2023.0,63421.612
1014278,2023.0,64940.656
1006523,2023.0,66468.524
1014894,2023.0,26114.638
1007247,2023.0,1118034.756
1005810,2023.0,58080.5
